ID,END_DATE,START_DATE,AGENDA_TITLE,AGENDA,MP3,ORDINANCES,MINUTES,RESOLUTIONS,OTHER
21,2014-06-05,2014-06-04,June 4-5 2014 Council Agenda,"<a href=""http://efiles.portlandoregon.gov/Record/6811779/File/Document/"" title=""June 4-5, 2014 Disposition Agenda"">agenda</a>","<a href=""http://efiles.portlandoregon.gov/Record/6812113/"" title=""June 4-5, 2014 Council Meeting Recordings"">audio</a>","<a href=""http://efiles.portlandoregon.gov/Record?q=recCreatedOn:6/4/2014 to 6/8/2014+And+recSchedule:2001-07"" title=""Ordinances from June 4-5, 2014 Council Meeting"">ordinances</a>","<a href=""http://efiles.portlandoregon.gov/Record/7012985/File/Document/"" title=""Minutes from June 4-5 Council Meetings"">minutes</a>","<a href=""http://efiles.portlandoregon.gov/Record?q=classification:542+And+createdOn:6/4/2014 to 6/8/2014"" title=""Resolutions from June 4-5, 2014 Council Meetings"">resolutions</a>","<a href=""http://efiles.portlandoregon.gov/Record?q=classification:545+And+createdOn:6/4/2014 to 6/8/2014"" title=""Other documents from June 4-5, 2014 Council Meeting"">other</a>"
22,2014-06-12,2014-06-11,June 11-12 2014 Council Agenda,"<a href=""http://efiles.portlandoregon.gov/Record/6827878/File/Document/"" title=""June 11-12, 2014 Disposition Agenda"">agenda</a>","<a href=""http://efiles.portlandoregon.gov/Record/6821098/"" title=""June 11-12, 2014 Council Meeting Recordings"">audio</a>","<a href=""http://efiles.portlandoregon.gov/Record?q=recCreatedOn:6/11/2014 to 6/15/2014+And+recSchedule:2001-07"" title=""Ordinances from June 11-12, 2014 Council Meeting"">ordinances</a>","<a href=""http://efiles.portlandoregon.gov/Record/7012986/File/Document/"" title=""Minutes from June 11-12, 2014 Council Meetings"">minutes</a>","<a href=""http://efiles.portlandoregon.gov/Record?q=classification:542+And+createdOn:6/11/2014 to 6/15/2014"" title=""Resolutions from June 11-12, 2014 Council Meeting"">resolutions</a>","<a href=""http://efiles.portlandoregon.gov/Record?q=classification:545+And+createdOn:6/11/2014 to 6/15/2014"" title=""Other documents from June 11-12, 2014 Council Meeting"">other</a>"
23,2014-06-19,2014-06-18,June 18-19 2014 Council Agenda,"<a href=""http://efiles.portlandoregon.gov/Record/6838309/File/Document/"" title=""June 18-19, 2014 Disposition Agenda"">agenda</a>","<a href=""http://efiles.portlandoregon.gov/Record/6838337/"" title=""June 18-19, 2014 Council Meeting Recordings"">audio</a>","<a href=""http://efiles.portlandoregon.gov/Record?q=recCreatedOn:6/18/2014 to 6/22/2014+And+recSchedule:2001-07"" title=""Ordinances from June 18-19, 2014 Council Meeting"">ordinances</a>","<a href=""http://efiles.portlandoregon.gov/Record/7012988/File/Document/"" title=""Minutes from June 18-19, 2014 Council Meetings"">minutes</a>","<a href=""http://efiles.portlandoregon.gov/Record?q=classification:542+And+createdOn:6/18/2014 to 6/22/2014"" title=""Resolutions from June 18-19, 2014 Council Meeting"">resolutions</a>","<a href=""http://efiles.portlandoregon.gov/Record?q=classification:545+And+createdOn:6/18/2014 to 6/22/2014"" title=""Other documents from June 18-19, 2014 Council Meeting"">other</a>"
24,2014-06-26,2014-06-25,June 25-26 2014 Council Agenda,"<a href=""http://efiles.portlandoregon.gov/Record/6851692/File/Document/"" title=""June 25-26, 2014 Disposition Agenda"">agenda</a>","<a href=""http://efiles.portlandoregon.gov/Record/6853220/"" title=""June 25-26, 2014 Council Meeting Recordings"">audio</a>","<a href=""http://efiles.portlandoregon.gov/Record?q=recCreatedOn:6/25/2014 to 6/29/2014+And+recSchedule:2001-07"" title=""Ordinances from June 25-26, 2014 Council Meeting"">ordinances</a>","<a href=""http://efiles.portlandoregon.gov/Record/7012989/File/Document/"" title=""Minutes from June 25-26, 2014 Council Meetings"">minutes</a>",,"<a href=""http://efiles.portlandoregon.gov/Record?q=classification:545+And+createdOn:6/25/2014 to 6/29/2014"" title=""Other documents from June 25-26, 2014 Council Meeting"">other</a>"
25,2014-07-10,2014-07-09,July 9-10 2014 Council Agenda,,NO COUNCIL MEETINGS,,,,
26,2014-07-24,2014-07-23,July 23-24 2014 Council Agenda,"<a href=""http://efiles.portlandoregon.gov/Record/6883908/File/Document/"" title=""July 23-24, 2014 Disposition Agenda"">agenda</a>","<a href=""http://efiles.portlandoregon.gov/Record/6883937/"" title=""July 23-24, 2014 Council Meeting Recordings"">audio</a>","<a href=""http://efiles.portlandoregon.gov/Record?q=recCreatedOn:7/23/2014 to 7/27/2014+And+recSchedule:2001-07"" title=""Ordinances from July 23-24, 2014 Council Meeting"">ordinances</a>","<a href=""http://efiles.portlandoregon.gov/Record/7321037/file/document"" title=""Minutes from July 23-24, 2014 Council Meeting"">minutes</a>",,"<a href=""http://efiles.portlandoregon.gov/Record?q=classification:545+And+createdOn:7/23/2014 to 7/27/2014"" title=""Other documents from July 23-24, 2014 Council Meeting"">other</a>"
27,2014-07-31,2014-07-30,July 30-31 2014 Council Agenda,"<a href=""http://efiles.portlandoregon.gov/Record/6897531/File/Document/"" title=""July 30-31, 2014 Disposition Agenda"">agenda</a>","<a href=""http://efiles.portlandoregon.gov/Record/6897491/"" title=""July 30-31, 2014 Council Meeting Recordings"">audio</a>","<a href=""http://efiles.portlandoregon.gov/Record?q=recCreatedOn:7/29/2014 to 8/3/2014+And+recSchedule:2001-07"" title=""Ordinances from July 30-31, 2014 Council Meeting"">ordinances</a>","<a href=""http://efiles.portlandoregon.gov/Record/7321038/file/document"" title=""Minutes from July 30-31, 2014 Council Meeting"">minutes</a>",,"<a href=""http://efiles.portlandoregon.gov/Record?q=classification:545+And+createdOn:7/29/2014 to 8/3/2014"" title=""Other documents from July 30-31, 2014 Council Meeting"">other</a>"
28,2014-08-28,2014-08-27,August 27-28 2014 Council Agenda,"<a href=""http://efiles.portlandoregon.gov/Record/6945992/File/Document/"" title=""August 27-28, 2014 Disposition Agenda"">agenda</a>","<a href=""http://efiles.portlandoregon.gov/Record/6946626/"" title=""August 27-28, 2014 Council Meeting Recordings"">audio</a>","<a href=""http://efiles.portlandoregon.gov/Record?q=recCreatedOn:8/27/2014 to 9/1/2014+And+recSchedule:2001-07"" title=""Ordinances from August 27-28, 2014 Council Meeting"">ordinances</a>","<a href=""http://efiles.portlandoregon.gov/Record/7321042/file/document"" title=""Minutes from August 27-28, 2014 Council Meetings"">minutes</a>",,"<a href=""http://efiles.portlandoregon.gov/Record?q=classification:545+And+createdOn:8/27/2014 to 9/1/2014"" title=""Other documents from August 27-28, 2014 Council Meeting"">other</a>"
29,2014-10-16,2014-10-15,October 15-16 2014 Council Agenda,"<a href=""http://efiles.portlandoregon.gov/Record/7018476/File/Document/"" title=""October 15-16, 2014 Disposition Agenda"">agenda</a>","<a href=""http://efiles.portlandoregon.gov/Record/7022001/"" title=""October 15-16, 2014 Council Meeting Recordings"">audio</a>","<a href=""http://efiles.portlandoregon.gov/Record?q=recCreatedOn:10/15/2014 to 10/19/2014+And+recSchedule:2001-07"" title=""Ordinances from October 15-16, 2014 Council Meeting"">ordinances</a>","<a href=""http://efiles.portlandoregon.gov/Record/7321049/file/document"" title=""Minutes from October 15-16, 2014 Council Meetings"">minutes</a>",,"<a href=""http://efiles.portlandoregon.gov/Record?q=classification:545+And+createdOn:10/15/2014 to 10/19/2014"" title=""Other documents from October 15-16, 2014 Council Meeting"">other</a>"
30,2014-10-30,2014-10-29,October 29-30 2014 Council Agenda,"<a href=""http://efiles.portlandoregon.gov/Record/7037487/File/Document/"" title=""October 29-30, 2014 Disposition Agenda"">agenda</a>","<a href=""http://efiles.portlandoregon.gov/Record/7040783/"" title=""October 29-30, 2014 Council Meeting Recordings"">audio</a>","<a href=""http://efiles.portlandoregon.gov/Record?q=recCreatedOn:10/29/2014 to 11/1/2014+And+recSchedule:2001-07"" title=""Ordinances from October 29-30, 2014 Council Meeting"">ordinances</a>","<a href=""http://efiles.portlandoregon.gov/Record/7321051/file/document"" title=""Minutes from October 29-30, 2014 Council Meetings"">minutes</a>",,"<a href=""http://efiles.portlandoregon.gov/Record?q=classification:545+And+createdOn:10/29/2014 to 11/1/2014"" title=""Other documents from October 29-30, 2014 Council Meeting"">other</a>"
